Username,Komentar,Waktu,IsReply,Cleaned
@sanakhuma-w1r,klu GK pake cara Soeharto sulit Indonesia maju,2025-11-20 12:35:42+00:00,False,klu gk pake soeharto sulit indonesia maju
@NurlianiHR,Ya Allah minta sebungkus uangnya 1 milliyar,2025-11-17 18:38:42+00:00,False,ya allah sebungkus uangnya milliyar
@aciroproject,"Doraemon rumahnya dmna ya,
Pengen pinjem pintu kemana saja , 5 jam aja deh ga usah lama"" 😢


Klo dibagi rata ke semua kepala keluarga di Indonesia,
bisa kebagian itu beras
sarang 2 Liter tiap kk,
dengan menunjukkan surat KK yg asli.",2025-11-16 10:54:17+00:00,False,doraemon rumahnya dmna ya pengen pinjem pintu kemana jam aja deh ga klo dibagi kepala keluarga indonesia kebagian beras sarang liter kk surat kk yg asli
@PrajaWeni,Aset pengguna umum,2025-11-16 00:17:53+00:00,False,aset pengguna
@PrajaWeni,Ini pengguna aset negara dengan nilai mata uang,2025-11-16 00:15:42+00:00,False,pengguna aset negara nilai mata uang
@RusliMus-v7h,Pantasan uang yg beredar di masyarakat sangat sedikit ternyata di rampok oleh tikus2 terjok,2025-11-15 10:21:27+00:00,False,pantasan uang yg beredar masyarakat rampok tikus terjok
@ahmadsani1061,Masyaallah manusia serakah menimbun2 uang sementara rakyat banyak yg pada sengsara uang 13 trilyunan kalau dikasi rakyat se-Indonesia mendoakan peresiden NKRI tetap jaya,2025-11-14 02:42:11+00:00,False,masyaallah manusia serakah menimbun uang rakyat yg sengsara uang trilyunan dikasi rakyat indonesia mendoakan peresiden nkri jaya
@omasuryana4904,Bagi atujh sagepok mah abdi,2025-11-08 10:27:10+00:00,False,atujh sagepok mah abdi
@MuslimOppo-g7m,"Tolong disalurkan uang ini buat membangun jalan,dn jembatan didesa desa,",2025-11-06 09:25:47+00:00,False,tolong disalurkan uang membangun jalan dn jembatan didesa desa
@BaiqSuriatiWardaniWardani,buat rakyat yg membutuhkan,2025-11-06 06:47:02+00:00,False,rakyat yg membutuhkan
@rulinusngadiem6812,Klo udah kembali buat kepetingan apa pak sebanyak itu,2025-11-05 09:37:10+00:00,False,klo udah kepetingan
@kusumarahayu2806,"AstoqfiruAllah itu uang bisa kaya gunung, koruptor2 itu ga takut siksaan Allah apa yh, Ya Allah lindungilah Pak Prabowo dan bawahannya yg sll dlm jln Allah 🤲🏻🤲🏻🤲🏻",2025-11-05 09:30:37+00:00,False,astoqfiruallah uang kaya gunung koruptor ga takut siksaan allah yh ya allah lindungilah prabowo bawahannya yg sll dlm jln allah
@CLUMSY101,"BODO AMATTTTT

Pertanyaan gua cuma 1: Duitny mau d kemanain!?",2025-11-05 00:19:30+00:00,False,bodo amattttt gua duitny d kemanain
@budisantoso-sr9gy,"Kalau trilyunan bahkan kalau kasus seluruh indonesia dijumlah nilainya bisa quadriliun. Bukan kebocoan namanya, Kalau kebocoran kan kecil. Bukan pula kebobolan atau kecolongan. Karena ini diketahui terlibat para oknum. Jadi ini adalah kongkalikong, perampokan berjamaah.",2025-11-04 09:23:55+00:00,False,trilyunan indonesia dijumlah nilainya quadriliun kebocoan namanya kebocoran kebobolan kecolongan terlibat oknum kongkalikong perampokan berjamaah
@Gustiwidya-j7f,Hukum mati koruptor bos tak usah takut rakyat dibelakangMu,2025-11-03 06:55:50+00:00,False,hukum mati koruptor bos takut rakyat dibelakangmu
@AzzanAlbaiqi,"Cuma sayang pemerintah kebingungan banyak uang mau di apakan, mungkin di taro di bungker biar di makan rayap",2025-11-03 01:20:46+00:00,False,sayang pemerintah kebingungan uang apakan taro bungker biar makan rayap
@HanitaNita-z7h,Di bagikan ke rakyat pak,2025-11-02 14:53:29+00:00,False,bagikan rakyat
@matnor8821,Wangnya 13 trelion dibagi sama rakyat miskin yang mendukung pk preseden 😂,2025-11-02 08:58:56+00:00,False,wangnya trelion dibagi rakyat miskin mendukung pk preseden
@dodisupriyadi2776,Mafia nya per lihat kan ke sosmed,2025-11-02 07:04:00+00:00,False,mafia nya lihat sosmed
@selamatriadi1082,Dari pada di korupsi.mending bagikan ke rakyat,2025-11-02 00:15:06+00:00,False,korupsi mending bagikan rakyat
@AhmedSayed-m9f,Ini baru namanya presidenku ❤❤❤,2025-11-01 19:54:45+00:00,False,namanya presidenku
@EDUARZETHSUMASUNDU,Uan itu ada di tan saya.13 teliun.ku.ambil,2025-11-01 14:50:47+00:00,False,uan tan teliun ku ambil
@SahrulGm-z2q6r,"Saya tegaskan KPD pemerintah sikat habis para korop , jangan takut bila para korop meneror Kopasus segera bertindak negara punya alat mari gunakan untuk rakyat hukum mati para korop",2025-10-31 22:32:42+00:00,False,tegaskan kpd pemerintah sikat habis korop takut korop meneror kopasus bertindak negara alat mari rakyat hukum mati korop
@AndiWijaya-i8c,Baru ngjabat juga dh segitu gmna yg dh bilng tahunan ya,2025-10-31 16:39:31+00:00,False,ngjabat dh segitu gmna yg dh bilng tahunan ya
@murnihastuti8100,Mudah2an mintak goreng bs turun harga lagi seperti dl ya alloh,2025-10-30 15:53:08+00:00,False,mudah an mintak goreng bs turun harga dl ya alloh
@murnihastuti8100,"Allohhumma sholialla mihammad ,,semoga para koropsi segera  menyerahkan uang hssil korop sinya mudah2an pd mau mengembalikan ke negara lagi,",2025-10-30 15:50:45+00:00,False,allohhumma sholialla mihammad semoga koropsi menyerahkan uang hssil korop sinya mudah an pd mengembalikan negara
@elrantinus9398,"Telah tercatat dalam sejarah📜, mantaaappp",2025-10-29 12:02:03+00:00,False,tercatat sejarah mantaaappp
@nangnang-v3d,Mantap.Pak Prabowo n Jajaran KeJaksaan..Bravo Korp Adiyaksa👍👍,2025-10-29 04:06:13+00:00,False,mantap prabowo n jajaran kejaksaan bravo korp adiyaksa
@OdingSodikin,"Udah itu duit hasil rampasan korupsi, bagikan saja pada rakyat miskin per kk 10jt biyar rakyat miskin merasakan hidup mahmur.",2025-10-28 14:42:47+00:00,False,udah duit hasil rampasan korupsi bagikan rakyat miskin kk jt biyar rakyat miskin merasakan hidup mahmur
@KasiyatiSetiawan,Ya Allah lindungilah orang2 baik,2025-10-28 10:34:36+00:00,False,ya allah lindungilah orang
@SuryamanMantole-cj6nr,Belikan kebun sawit buat aset negara,2025-10-28 10:10:34+00:00,False,belikan kebun sawit aset negara
@MulYadi-d4u4z,13 Trilliun,2025-10-28 10:04:29+00:00,False,trilliun
@muharamhari1948,KALAU SAYA LANGSUNG SAJA TERBUKA HANYA GEROMBOLAN KELEDAI INI SAJA YANG HARUS DITOLAK KALAU PERLU DI SELURUH NKRI GEROMBOLAN HARUS DITOLAK ALIAS DI USIR,2025-10-28 07:55:39+00:00,False,langsung terbuka gerombolan keledai ditolak nkri gerombolan ditolak alias usir
@tiol-fc7bd,"uang sebanyak lebih baik dibagikan ke rakyat per KK itu lebih baik dan untuk pembangunan tapi hrs yg ditunjuk hrs benar² buat rakyat Indonesia,",2025-10-28 07:03:05+00:00,False,uang dibagikan rakyat kk pembangunan hrs yg hrs benar² rakyat indonesia
@tatihernawati8539,Semoga saja Indonesia subur makmur loncinawi kepemimpinan pak Prabowo semoga bapak sehat panjang umur selamat dari marabahaya didunia dan diakhirat kelak aamiin 🙏🙏🙏💪💪💪💪,2025-10-28 05:42:36+00:00,False,semoga indonesia subur makmur loncinawi kepemimpinan prabowo semoga sehat umur selamat marabahaya didunia diakhirat kelak aamiin
@alucard2595,Itu uang buat beli pesawat tempur..siap perang kita,2025-10-28 05:02:53+00:00,True,uang beli pesawat tempur perang
@alucard2595,Uang nya bikin ngiler,2025-10-28 05:02:03+00:00,False,uang nya bikin ngiler
@Dunia_Jin_457R4L,Cair,2025-10-27 15:08:33+00:00,False,cair
